"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5048","Wrire a review with different cases (example #9)","","Mon Jan 05 09:11:06 ICT 2026","passed","Mon Jan 05 09:11:11 ICT 2026","","Write a review","",""
"","491","Verify product information (example #3)","","Mon Jan 05 09:12:49 ICT 2026","passed","Mon Jan 05 09:12:49 ICT 2026","","Product detail page - Bậc thầy đọc vị","",""
"","4327","Search with mixed case keywords (có sản phẩm)","","Mon Jan 05 09:12:15 ICT 2026","passed","Mon Jan 05 09:12:19 ICT 2026","","Search product","",""
"","1965","Login with multiple email and password (example #11)","","Mon Jan 05 09:11:44 ICT 2026","passed","Mon Jan 05 09:11:46 ICT 2026","","Login","",""
"","5013","Wrire a review with different cases (example #3)","","Mon Jan 05 09:10:45 ICT 2026","passed","Mon Jan 05 09:10:50 ICT 2026","","Write a review","",""
"","2515","Login with multiple email and password (example #3)","","Mon Jan 05 09:11:26 ICT 2026","passed","Mon Jan 05 09:11:28 ICT 2026","","Login","",""
"","1504","Search with misspelled keywords (không có sản phẩm)","","Mon Jan 05 09:12:23 ICT 2026","failed","Mon Jan 05 09:12:25 ICT 2026","","Search product","",""
"","1250","User selects a category from homepage (example #4)","","Mon Jan 05 09:12:38 ICT 2026","passed","Mon Jan 05 09:12:40 ICT 2026","","Search by category on homepage","",""
"","8680","Wrire a review with different cases (example #1)","","Mon Jan 05 09:10:32 ICT 2026","passed","Mon Jan 05 09:10:41 ICT 2026","","Write a review","",""
"","2001","Login with multiple email and password (example #8)","","Mon Jan 05 09:11:36 ICT 2026","passed","Mon Jan 05 09:11:38 ICT 2026","","Login","",""
"","1943","Login with multiple email and password (example #12)","","Mon Jan 05 09:11:46 ICT 2026","passed","Mon Jan 05 09:11:48 ICT 2026","","Login","",""
"","3527","Add a product and verify cart info (example #2)","","Mon Jan 05 09:10:01 ICT 2026","passed","Mon Jan 05 09:10:04 ICT 2026","","Add to cart","",""
"","2775","Verify product information (example #1)","","Mon Jan 05 09:12:44 ICT 2026","passed","Mon Jan 05 09:12:47 ICT 2026","","Product detail page - Bậc thầy đọc vị","",""
"","4465","Search with exact keyword (có sản phẩm)","","Mon Jan 05 09:12:00 ICT 2026","passed","Mon Jan 05 09:12:05 ICT 2026","","Search product","",""
"","3135","Login with multiple email and password (example #2)","","Mon Jan 05 09:11:23 ICT 2026","passed","Mon Jan 05 09:11:26 ICT 2026","","Login","",""
"","1357","Search with keywords containing special characters (không có sản phẩm)","","Mon Jan 05 09:12:28 ICT 2026","failed","Mon Jan 05 09:12:29 ICT 2026","","Search product","",""
"","1304","Verify product information (example #2)","","Mon Jan 05 09:12:47 ICT 2026","passed","Mon Jan 05 09:12:49 ICT 2026","","Product detail page - Bậc thầy đọc vị","",""
"","2634","User selects a category from homepage (example #1)","","Mon Jan 05 09:12:33 ICT 2026","passed","Mon Jan 05 09:12:36 ICT 2026","","Search by category on homepage","",""
"","3389","Wrire a review with different cases (example #2)","","Mon Jan 05 09:10:41 ICT 2026","passed","Mon Jan 05 09:10:44 ICT 2026","","Write a review","",""
"","1198","Search with keywords containing numbers (không có sản phẩm)","","Mon Jan 05 09:12:26 ICT 2026","failed","Mon Jan 05 09:12:28 ICT 2026","","Search product","",""
"","1196","Search with non-existent keyword (không có sản phẩm)","","Mon Jan 05 09:12:25 ICT 2026","failed","Mon Jan 05 09:12:26 ICT 2026","","Search product","",""
"","1882","Login with multiple email and password (example #7)","","Mon Jan 05 09:11:34 ICT 2026","passed","Mon Jan 05 09:11:36 ICT 2026","","Login","",""
"","490","Verify product information (example #4)","","Mon Jan 05 09:12:49 ICT 2026","passed","Mon Jan 05 09:12:50 ICT 2026","","Product detail page - Bậc thầy đọc vị","",""
"","2788","Login with multiple email and password (example #10)","","Mon Jan 05 09:11:41 ICT 2026","passed","Mon Jan 05 09:11:44 ICT 2026","","Login","",""
"","1675","Login with multiple email and password (example #5)","","Mon Jan 05 09:11:30 ICT 2026","passed","Mon Jan 05 09:11:32 ICT 2026","","Login","",""
"","2931","Wrire a review with different cases (example #7)","","Mon Jan 05 09:10:59 ICT 2026","passed","Mon Jan 05 09:11:02 ICT 2026","","Write a review","",""
"","5082","Wrire a review with different cases (example #10)","","Mon Jan 05 09:11:11 ICT 2026","passed","Mon Jan 05 09:11:16 ICT 2026","","Write a review","",""
"","3763","Add a product and verify cart info (example #5)","","Mon Jan 05 09:10:13 ICT 2026","passed","Mon Jan 05 09:10:17 ICT 2026","","Add to cart","",""
"","3104","Wrire a review with different cases (example #8)","","Mon Jan 05 09:11:02 ICT 2026","passed","Mon Jan 05 09:11:06 ICT 2026","","Write a review","",""
"","3131","Wrire a review with different cases (example #6)","","Mon Jan 05 09:10:56 ICT 2026","passed","Mon Jan 05 09:10:59 ICT 2026","","Write a review","",""
"","4824","Add a product and verify cart info (example #3)","","Mon Jan 05 09:10:04 ICT 2026","passed","Mon Jan 05 09:10:09 ICT 2026","","Add to cart","",""
"","3155","Login with multiple email and password (example #13)","","Mon Jan 05 09:11:48 ICT 2026","passed","Mon Jan 05 09:11:51 ICT 2026","","Login","",""
"","717","Verify product information (example #5)","","Mon Jan 05 09:12:50 ICT 2026","passed","Mon Jan 05 09:12:51 ICT 2026","","Product detail page - Bậc thầy đọc vị","",""
"","2121","Login with multiple email and password (example #6)","","Mon Jan 05 09:11:32 ICT 2026","passed","Mon Jan 05 09:11:34 ICT 2026","","Login","",""
"","5498","Search with all lowercase keywords (có sản phẩm)","","Mon Jan 05 09:12:05 ICT 2026","passed","Mon Jan 05 09:12:10 ICT 2026","","Search product","",""
"","1269","User selects a category from homepage (example #2)","","Mon Jan 05 09:12:36 ICT 2026","passed","Mon Jan 05 09:12:37 ICT 2026","","Search by category on homepage","",""
"","3060","Wrire a review with different cases (example #5)","","Mon Jan 05 09:10:53 ICT 2026","passed","Mon Jan 05 09:10:56 ICT 2026","","Write a review","",""
"","1267","User selects a category from homepage (example #5)","","Mon Jan 05 09:12:40 ICT 2026","passed","Mon Jan 05 09:12:41 ICT 2026","","Search by category on homepage","",""
"","1925","Login with multiple email and password (example #4)","","Mon Jan 05 09:11:28 ICT 2026","passed","Mon Jan 05 09:11:30 ICT 2026","","Login","",""
"","3388","Wrire a review with different cases (example #4)","","Mon Jan 05 09:10:50 ICT 2026","passed","Mon Jan 05 09:10:53 ICT 2026","","Write a review","",""
"","1438","User selects a category from homepage (example #3)","","Mon Jan 05 09:12:37 ICT 2026","passed","Mon Jan 05 09:12:38 ICT 2026","","Search by category on homepage","",""
"","5124","Login with multiple email and password (example #14)","","Mon Jan 05 09:11:52 ICT 2026","passed","Mon Jan 05 09:11:57 ICT 2026","","Login","",""
"","2885","Login with multiple email and password (example #9)","","Mon Jan 05 09:11:38 ICT 2026","passed","Mon Jan 05 09:11:41 ICT 2026","","Login","",""
"","3330","Login with multiple email and password (example #1)","","Mon Jan 05 09:11:19 ICT 2026","passed","Mon Jan 05 09:11:23 ICT 2026","","Login","",""
"","4318","Search with unaccented keywords (có sản phẩm)","","Mon Jan 05 09:12:19 ICT 2026","passed","Mon Jan 05 09:12:23 ICT 2026","","Search product","",""
"","3385","Add a product and verify cart info (example #4)","","Mon Jan 05 09:10:09 ICT 2026","passed","Mon Jan 05 09:10:13 ICT 2026","","Add to cart","",""
"","4283","Search with all uppercase keywords (có sản phẩm)","","Mon Jan 05 09:12:10 ICT 2026","passed","Mon Jan 05 09:12:14 ICT 2026","","Search product","",""
"","6540","Add a product and verify cart info (example #1)","","Mon Jan 05 09:09:54 ICT 2026","passed","Mon Jan 05 09:10:01 ICT 2026","","Add to cart","",""
